Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-01-03,26.796836853027344,26.83836452197202,26.47615164957586,26.71608909679299,115127600
2017-01-04,26.766841888427734,26.879890500214323,26.704551269013233,26.72762180360494,84472400
2017-01-05,26.902957916259766,26.960635126137664,26.718390140582994,26.74376825374277,88774400
2017-01-06,27.202882766723633,27.26055998223089,26.870661442147778,26.942180626122717,127007600
2017-01-09,27.452054977416992,27.553567469462845,27.20981165799317,27.21211747996189,134247600
2017-01-10,27.4797306060791,27.542021219612735,27.292857005309397,27.40128868367026,97848400
2017-01-11,27.62738609313965,27.668913758508953,27.36207055106736,27.394369650780273,110354400
2017-01-12,27.512035369873047,27.52357151854024,27.272097910982577,27.43128760971019,108344800
2017-01-13,27.46358299255371,27.59739455421782,27.41051918011142,27.479732542398075,104447600
2017-01-17,27.68506622314453,27.740435862743468,27.274404689128275,27.302088628843194,137759200
2017-01-18,27.682754516601562,27.800416523365154,27.61815632000001,27.685062097957,94852000
2017-01-19,27.63431167602539,27.705830871552944,27.5397219426021,27.5466429279539,102389200
2017-01-20,27.68506622314453,27.788884517413678,27.62277559861686,27.788884517413678,130391600
2017-01-23,27.703523635864258,27.871940138059283,27.632002683817998,27.685066502422053,88200800
2017-01-24,27.678142547607422,27.708134066106123,27.569709100480594,27.581245247686446,92844000
2017-01-25,28.118797302246094,28.169553536826044,27.74966345098608,27.781962552960767,129510400
2017-01-26,28.132638931274414,28.24799336119085,28.054197003643402,28.070346553424947,105350400
2017-01-27,28.134946823120117,28.22723072587861,28.054199068269828,28.178782072968435,82251600
2017-01-30,28.061115264892578,28.061115264892578,27.83732917111173,27.899619782747898,121510000
2017-01-31,27.99652099609375,28.005749562105336,27.828104506847033,27.950379926204814,196804000
2017-02-01,29.70376205444336,30.105196688558852,29.302329180496564,29.306942582652155,447940000
2017-02-02,29.65300941467285,29.851419174554426,29.479977770136752,29.526120598114392,134841600
2017-02-03,29.779903411865234,29.80528153012559,29.567651659295976,29.602256584042724,98029200
2017-02-06,30.059066772460938,30.107517199662478,29.73838148103289,29.791447072810552,107383600
2017-02-07,30.34514045715332,30.47433687416009,30.095974429923828,30.116737385441702,152735200
2017-02-08,30.462799072265625,30.504328501385984,30.273619620583087,30.30361290159567,92016400
2017-02-09,30.682912826538086,30.689863815382644,30.381690346075366,30.504495863128692,113399600
2017-02-10,30.613405227661133,30.803408387165437,30.597187429137758,30.69218900888991,80262000
2017-02-13,30.884511947631836,31.007321053462746,30.75939055865098,30.83585500465084,92141600
2017-02-14,31.28536033630371,31.301578133062414,30.875234283063527,30.926210562476427,132904800
2017-02-15,31.398887634277344,31.574988750055994,31.192666750483145,31.401206987231703,142492400
2017-02-16,31.36182975769043,31.489266940949232,31.243655847657074,31.43597483509916,90338400
2017-02-17,31.447555541992188,31.4730436813421,31.303897048710777,31.303897048710777,88792800
2017-02-21,31.67462921142578,31.68621537206387,31.507798397916837,31.565725665507447,98028800
2017-02-22,31.76963233947754,31.771948157478988,31.537923257732565,31.612068325378953,83347600
2017-02-23,31.63524627685547,31.855369236561085,31.58195416853952,31.832200445624018,83152800
2017-02-24,31.66537094116211,31.66537094116211,31.34561120646375,31.491589091539225,87106400
2017-02-27,31.72792625427246,31.846100161365428,31.57731674929561,31.776586722299044,81029600
2017-02-28,31.74183464050293,31.846103040729744,31.674637013609615,31.762687613428152,93931600
2017-03-01,32.39061737060547,32.47403279791158,31.883177351394018,31.95037144269028,145658400
2017-03-02,32.198299407958984,32.50415359395043,32.15195475758415,32.439275326146166,104844000
2017-03-03,32.3882942199707,32.39988038084044,32.11255985503052,32.15658514497558,84432400
2017-03-06,32.28635025024414,32.385987017509834,32.11488775191842,32.293301241495136,87000000
2017-03-07,32.32805633544922,32.43464054716233,32.15890613785156,32.221468588135636,69785200
2017-03-08,32.20756530761719,32.39293329708325,32.16585936617749,32.1959791453505,74828800
2017-03-09,32.1334228515625,32.158910999190404,31.755739345659407,32.147328370305814,88623600
2017-03-10,32.2400016784668,32.290977959592624,32.1241471369263,32.26548981902971,78451200
2017-03-13,32.253902435302734,32.30719453242354,32.165855391277034,32.17280638065802,69686800
2017-03-14,32.20525360107422,32.35817894147752,32.17049510983651,32.27708286645774,61236400
2017-03-15,32.545867919921875,32.613062016013366,32.214522005509565,32.302572611616505,102767200
2017-03-16,32.59917068481445,32.67563515158659,32.49953388183181,32.60612167855719,76928000
2017-03-17,32.43696212768555,32.67098707433795,32.41378980062658,32.67098707433795,175540000
2017-03-20,32.777565002441406,32.78683180912643,32.492560314581915,32.53195043029265,86168000
2017-03-21,32.40220642089844,33.08806705492065,32.376718273184075,32.92818717703974,158119600
2017-03-22,32.768310546875,32.81002003617831,32.38367247437293,32.40452898682526,103440800
2017-03-23,32.652442932128906,32.805371772549314,32.5806136834587,32.731223170309136,81385200
2017-03-24,32.58757400512695,32.842455478818465,32.520379908754265,32.78684401121278,89582400
2017-03-27,32.643184661865234,32.721964920648965,32.11951974448904,32.29793677164116,94300400
2017-03-28,33.31977844238281,33.375386378878005,32.58294146341025,32.65013910081028,133499200
2017-03-29,33.3939094543457,33.47964421295767,33.17842172009348,33.291956899628616,116760000
2017-03-30,33.34988784790039,33.481963727164825,33.25025463562735,33.41013447448423,84829200
2017-03-31,33.28733825683594,33.42868098366342,33.136725183815855,33.3012402405237,78646800
2017-04-03,33.29660415649414,33.3939215752472,33.1459946231956,33.29892351077941,79942800
2017-04-04,33.544532775878906,33.57233674094522,33.173796742190774,33.19233389743526,79565600
2017-04-05,33.3707389831543,33.704400586971246,33.32207852609783,33.417080086884525,110871600
2017-04-06,33.28733825683594,33.48660827276319,33.23867777832763,33.433312621158585,84596000
2017-04-07,33.21318817138672,33.40782300567171,33.19697036966346,33.30355459699054,66688800
2017-04-10,33.173797607421875,33.33831265475705,33.11123514879008,33.27343437750961,75733600
2017-04-11,32.81696319580078,33.21550315774776,32.45317818697687,33.12050157174401,121517600
2017-04-12,32.856353759765625,32.93744983000208,32.67330157593939,32.81001264311614,81400000
2017-04-13,32.682579040527344,32.99075266000285,32.682579040527344,32.8818490675716,71291600
2017-04-17,32.86330032348633,32.874886484988075,32.64085804369308,32.78220072857418,66328400
2017-04-18,32.71733474731445,32.91196960543955,32.69648177014421,32.765995229646435,58790000
2017-04-19,32.59684371948242,32.90270151516269,32.54355160136284,32.87489754668313,69313600
2017-04-20,33.00465393066406,33.115873339566704,32.70806648318951,32.721968467352184,93278400
2017-04-21,32.96526336669922,33.0602614357712,32.86794594322956,33.00465349984638,69283600
2017-04-24,33.2827033996582,33.35453267312754,33.17611563103839,33.25026425887847,68537200
2017-04-25,33.488922119140625,33.57465337056667,33.33599323637989,33.345263582026504,75486000
2017-04-26,33.29197311401367,33.505148669846136,33.22246318885252,33.47502534520865,80164800
2017-04-27,33.31745910644531,33.40319390125838,33.20623969779198,33.34758242913109,56985200
2017-04-28,33.285011291503906,33.435624330084664,33.196964236413955,33.386963862703105,83441600
2017-05-01,33.96390914916992,34.10756761260313,33.58854166182556,33.620980783749154,134411600
2017-05-02,34.179420471191406,34.313812222231434,34.02417574212833,34.186371463865754,181408800
2017-05-03,34.075138092041016,34.17477483890903,33.42867128883735,33.73452544806916,182788000
2017-05-04,33.95235061645508,34.09369337746951,33.78551970064781,33.95003479714737,93487600
2017-05-05,34.5153923034668,34.52002394026559,34.005629407550984,34.005629407550984,109310800
2017-05-08,35.45381546020508,35.61369533801015,34.531614041197315,34.531614041197315,195009600
2017-05-09,35.680885314941406,35.88710627097497,35.555760421941116,35.6530778189412,156521600
2017-05-10,35.511741638183594,35.669305692404535,35.24527754056405,35.59747642446887,103222800
2017-05-11,35.81885528564453,35.846777561546396,35.43728398346313,35.469857013520304,109020400
2017-05-12,36.31908416748047,36.39353527768453,35.98637067289301,35.99335035353109,130108000
2017-05-15,36.22602844238281,36.44706002325457,36.074797242363935,36.29815420085935,104038800
2017-05-16,36.17251205444336,36.30978387200854,35.99801289815713,36.281865143064955,80194000
2017-05-17,34.9579963684082,35.96311317607233,34.83235854254733,35.73742732481981,203070800
2017-05-18,35.49081039428711,35.676943591313865,35.16275458411989,35.19532762733491,134272800
2017-05-19,35.61178207397461,35.82583391523636,35.51173760966273,35.68623674060161,107843200
2017-05-22,35.82816696166992,35.96543877507769,35.57688775820464,35.83049233894665,91865600
2017-05-23,35.78396224975586,36.039892224279505,35.669954852346024,36.039892224279505,79675600
2017-05-24,35.67692947387695,35.87004227873496,35.52104400373245,35.79326223221112,76712000
2017-05-25,35.80025100708008,35.911933039588206,35.604812775483275,35.76767796848061,76942400
2017-05-26,35.739742279052734,35.886322658304074,35.66994192940004,35.830481668543264,87710400
2017-05-30,35.75370788574219,35.930532392255856,35.67460246573822,35.69554150923447,80507600
2017-05-31,35.54197692871094,35.870036102775956,35.45356646173107,35.823503717492855,97804800
2017-06-01,35.63970184326172,35.67460380058862,35.416344937223215,35.6373764661842,65616400
2017-06-02,36.16785430908203,36.16785430908203,35.57223114698154,35.73277092352461,111082800
2017-06-05,35.81418991088867,35.93517693521483,35.70484041893557,35.9095835944957,101326800
2017-06-06,35.93519973754883,36.2516250825914,35.77931421795953,35.80723295275309,106499600
2017-06-07,36.149234771728516,36.291160857636314,35.94216263493125,36.067803983213444,84278400
2017-06-08,36.060821533203125,36.188784698212245,35.92354621133519,36.12131327575641,85003200
2017-06-09,34.662513732910156,36.107368405845925,33.973825671403006,36.107368405845925,259530800
2017-06-12,33.834224700927734,33.990110197301966,33.15716708145269,33.908679382882696,289229200
