Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,probability,prediction,max_prob,distance
2018-02-08,36.37009811401367,37.741450381641855,36.34196898506106,37.5750113557906,217562000,-0.02751619726333343,37.83923012869699,40.06617177327474,0.020105694822369787,29.363026078918296,-0.9375292613795523,-0.5167693081717439,"[36.37009811401367,37.741450381641855,36.34196898506106,37.5750113557906,217562000.0,-0.02751619726333343,37.83923012869699,40.06617177327474,0.020105694822369787,29.363026078918296,-0.9375292613795523,-0.5167693081717439]","[-1.2745494352408366,-1.2601479302637502,-1.2683030209621113,-1.2558975176905651,2.2458724726017376,-1.5138121478732205,-1.2498623508385183,-1.2049409735188985,0.3690838182459113,-2.028613558802428,-0.6332749490922019,-0.49379584888350375]","[8.413586634931888e-21,0.5561420498959432,0.44385795007325923,1.7298464045251307e-15,3.079567157057052e-11]",1,0.5561420498959432,0.5867315301399381
2018-02-15,40.71746826171875,40.74100357542089,39.77832197075912,39.96426639259657,204588800,0.03357864006164002,38.23937552315848,39.84565289815267,0.026692731217656678,58.2774956409062,-0.43851759339560914,-0.6442979859291702,"[40.71746826171875,40.74100357542089,39.77832197075912,39.96426639259657,204588800.0,0.03357864006164002,38.23937552315848,39.84565289815267,0.026692731217656678,58.2774956409062,-0.43851759339560914,-0.6442979859291702]","[-1.208557720549927,-1.2150455899178105,-1.2155723702540968,-1.2195889461237817,2.003224359913431,1.7160994169040409,-1.2437792242990755,-1.2083068959633216,1.1015901756900899,0.21289583366801515,-0.4310089692291041,-0.5493416336312793]","[5.803026606659183e-18,0.5055510782387989,0.49433298434344114,0.00011593609104042584,1.326719618490091e-09]",1,0.5055510782387989,0.6821061986654848
2018-10-11,50.84843444824219,52.04584527964782,50.3433906650113,50.86503394876488,212497600,-0.008828007989688524,53.03832844325474,52.910513687133786,0.01754035122686146,40.69627321697078,0.20045544641455848,0.5432546836358161,"[50.84843444824219,52.04584527964782,50.3433906650113,50.86503394876488,212497600.0,-0.008828007989688524,53.03832844325474,52.910513687133786,0.01754035122686146,40.69627321697078,0.20045544641455848,0.5432546836358161]","[-1.0547728328110186,-1.045062000642422,-1.0534519625598269,-1.0539342575916126,2.1511489578252245,-0.5258203419760881,-1.01880124251985,-1.0088894622468185,0.08380674066924881,-1.1500368360763795,-0.17201200323538623,-0.032096837243027254]","[1.1746306673784105e-20,0.5067181532923039,0.49327440004974465,8.026670534322125e-09,7.438631280933631e-06]",1,0.5067181532923039,0.6798003386591615
2020-02-10,77.8428955078125,77.8428955078125,75.97883426440146,76.05871954270658,109348800,0.00474967877234711,76.82822527204242,75.2111213684082,0.02074122698420793,60.41686239057346,1.6495247415660117,1.8650188604590365,"[77.8428955078125,77.8428955078125,75.97883426440146,76.05871954270658,109348800.0,0.00474967877234711,76.82822527204242,75.2111213684082,0.02074122698420793,60.41686239057346,1.6495247415660117,1.8650188604590365]","[-0.6450053844564272,-0.6571684497878963,-0.6600774670378392,-0.6710757002893594,0.2218746349084719,0.19199362424091893,-0.6571403193332769,-0.6685008407416451,0.43975768749001853,0.3787439621642876,0.41534384368795313,0.5436044853472797]","[0.5278350301470974,0.19912515048996146,0.27287982370998604,0.00015970111151528363,2.9454143971494146e-07]",0,0.5278350301470974,0.6389714851050221
2020-04-20,67.0409927368164,68.1909032698828,67.02162907324754,67.28792562164121,130015200,-0.020756990141705622,67.7544664655413,62.743242518107095,0.033762058696243324,53.85560183592151,0.8801222614447255,-0.23418250877342964,"[67.0409927368164,68.1909032698828,67.02162907324754,67.28792562164121,130015200.0,-0.020756990141705622,67.7544664655413,62.743242518107095,0.033762058696243324,53.85560183592151,0.8801222614447255,-0.23418250877342964]","[-0.8089748790159869,-0.8022992112074059,-0.7975252962394732,-0.8043620150087092,0.6084148066518832,-1.1564719501287792,-0.7950822368770498,-0.8588061523996354,1.8877293451388428,-0.12989850586261142,0.10347949955434635,-0.37071368565588764]","[8.539116380221096e-06,0.4533785922187313,1.386468668120443e-14,0.0016505456065822384,0.5449623230582923]",4,0.5449623230582923,0.6070386168767643
2020-05-07,73.53134155273438,73.87753081736858,73.10285116327836,73.40545924879912,115215200,0.010344979048070746,71.43936593191964,66.32805824279785,0.020296720828366126,64.18692393747736,2.0212047086636886,1.4628034218945463,"[73.53134155273438,73.87753081736858,73.10285116327836,73.40545924879912,115215200.0,0.010344979048070746,71.43936593191964,66.32805824279785,0.020296720828366126,64.18692393747736,2.0212047086636886,1.4628034218945463]","[-0.7104534205819402,-0.7167930726267565,-0.7042092721750428,-0.7113962561875816,0.33159859571033135,0.4878013530156354,-0.7390633246282398,-0.8040887877287987,0.39032671951932896,0.6710069189326959,0.5659980619434561,0.3684174406322776]","[0.5391875804565691,0.22290830267875814,0.2369132852424169,0.000990782948495839,4.867376008527771e-08]",0,0.5391875804565691,0.617691751072544
2020-10-14,117.88367462158205,119.67347184273213,116.35650794568298,117.69885586154554,150712000,0.000743275176390279,114.90160151890346,112.07751541137695,0.026998080284219333,57.61321390249543,1.5168233944669254,0.555496368784246,"[117.88367462158205,119.67347184273213,116.35650794568298,117.69885586154554,150712000.0,0.000743275176390279,114.90160151890346,112.07751541137695,0.026998080284219333,57.61321390249543,1.5168233944669254,0.555496368784246]","[-0.03719892181314852,-0.02818914225729098,-0.04048424825291403,-0.03828688273209549,0.9955235738556067,-0.019813622890527623,-0.07833779230394008,-0.10578518619516136,1.1355462857029068,0.16139934148087062,0.36155558637407126,-0.02676490704378127]","[0.000986055972049455,4.3540946149356296e-08,2.62673525856119e-17,0.4252804620276322,0.5737334384593723]",4,0.5737334384593723,0.555590381711315
2020-10-15,117.41676330566406,117.89339294386204,114.92660814304054,115.48105698538242,112559200,-0.003960780128519192,115.95074462890625,111.73090464274088,0.025813225421681196,56.8241408576099,1.6478971444502548,0.7739765239174479,"[117.41676330566406,117.89339294386204,114.92660814304054,115.48105698538242,112559200.0,-0.003960780128519192,115.95074462890625,111.73090464274088,0.025813225421681196,56.8241408576099,1.6478971444502548,0.7739765239174479]","[-0.04428648907775839,-0.05495503675983684,-0.06242598338734486,-0.07198990228230184,0.2819213081251447,-0.2685037462451614,-0.06238841394180716,-0.11107573089336475,1.003785404576026,0.10022876950602118,0.4146841245940671,0.0683952709028042]","[0.45744656290111385,1.533925757778279e-06,5.157575265462971e-19,0.04159880922658626,0.5009530939465421]",4,0.5009530939465421,0.6912428051413594
2020-11-12,116.1577377319336,117.44394006005354,115.5341249324846,116.55724363092018,103162300,-0.00234345666246627,114.59690529959542,113.1007298787435,0.02935788087864804,55.95285287323867,0.6030247668502824,0.016666447500597634,"[116.1577377319336,117.44394006005354,115.5341249324846,116.55724363092018,103162300.0,-0.00234345666246627,114.59690529959542,113.1007298787435,0.02935788087864804,55.95285287323867,0.6030247668502824,0.016666447500597634]","[-0.06339810222025546,-0.06171316893000049,-0.05310367111129044,-0.055635515983315155,0.10616358835509959,-0.18300042066621483,-0.08296987275218558,-0.09016720093534694,1.3979661106421453,0.03268472563802507,-0.00883730555803018,-0.26145510653139814]","[0.5189158896120358,6.796975702181838e-08,1.9167835592338676e-19,0.02596250565430963,0.4551215367638975]",0,0.5189158896120358,0.6560134694272396
2021-01-07,127.56792449951172,128.25975221212653,124.58627507251094,125.0734730800105,109578200,0.034123333956754376,127.9548830304827,122.94181213378906,0.02142876595456864,55.98305581577787,2.472038062099273,3.0206941585153593,"[127.56792449951172,128.25975221212653,124.58627507251094,125.0734730800105,109578200.0,0.034123333956754376,127.9548830304827,122.94181213378906,0.02142876595456864,55.98305581577787,2.472038062099273,3.0206941585153593]","[0.10980495253538686,0.10091719942361424,0.08580108319562789,0.07378228231284735,0.22616528617806594,1.7448958453442274,0.12010198555921386,0.060043612634848705,0.5162149342026974,0.035026120116547974,0.7487357729794012,1.0469649253124762]","[0.36903687338628444,3.805557189516751e-08,5.625388205906041e-10,0.42979123975458866,0.2011718482410164]",3,0.42979123975458866,0.8444556747985488
