Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,cluster,distance,is_anomaly,model_used
2024-03-14,171.67715534575908,173.06716728584055,170.82328653971078,171.76651000976562,72913500,0.0008103039566804693,170.34528701139976,179.35780629133424,0.012767063047573015,42.71118074088492,-3.78038596671621,-3.4729552655496727,"[171.67715534575908,72913500.0,0.0008103039566804693,179.35780629133424,0.012767063047573015,42.71118074088492,-3.78038596671621,-3.4729552655496727]","[-1.860583901794351,0.5424659545332071,-0.00016442453700213252,-1.51692133977598,-0.41773088822499216,-0.9076006150188944,-1.1982942644088952,-1.1885405850698791]",3,1.2382988363062561,0,kmeans
2024-03-15,169.94954753501827,171.3892059326172,169.07581713096124,171.3892059326172,121752700,-0.010063119972260726,170.36088815457896,178.94127874025713,0.012529738440653023,39.608867178530154,-3.762275158934159,-3.5308192442265702,"[169.94954753501827,121752700.0,-0.010063119972260726,178.94127874025713,0.012529738440653023,39.608867178530154,-3.762275158934159,-3.5308192442265702]","[-1.938157136541184,2.227288139591532,-0.5360087742773044,-1.5366819736908963,-0.4395343762737054,-1.161217257669514,-1.1934953903840317,-1.205089286267075]",3,2.4869457938923754,0,kmeans
2024-03-18,174.31819990832292,176.44294118443133,172.282813299669,172.48138427734375,75604200,0.025705584019895644,171.27149701962108,178.80688436266436,0.014859394442047197,49.581715060619665,-3.356714363411868,-3.49599826806363,"[174.31819990832292,75604200.0,0.025705584019895644,178.80688436266436,0.014859394442047197,49.581715060619665,-3.356714363411868,-3.49599826806363]","[-1.7419954301777747,0.6352879305962146,1.2266795984914678,-1.5430578258739422,-0.2255042028196099,-0.3459288779864912,-1.086032753125868,-1.1951307258104427]",3,1.7447477629527466,0,kmeans
2024-03-19,173.09697026746844,175.350789645184,171.7963128554373,174.82456970214844,55215200,-0.007005749494296998,172.02891642792207,178.3577691864172,0.014625658402892653,47.23353703783035,-3.0981341745846294,-3.4164254493678303,"[173.09697026746844,55215200.0,-0.007005749494296998,178.3577691864172,0.014625658402892653,47.23353703783035,-3.0981341745846294,-3.4164254493678303]","[-1.796831216992823,-0.06807820830766152,-0.38534098955871493,-1.5643644610785137,-0.24697800194393646,-0.5378943303870415,-1.0175159996800538,-1.1723734451995054]",3,1.0819955850520002,0,kmeans
2024-03-20,174.467139074951,177.39610290527344,173.84162605000233,177.39610290527344,53423100,0.007915614036255958,172.4232301507506,177.99696492670708,0.014871320383949423,50.08956373648888,-2.7509352707802464,-3.2833274136503134,"[174.467139074951,53423100.0,0.007915614036255958,177.99696492670708,0.014871320383949423,50.08956373648888,-2.7509352707802464,-3.2833274136503134]","[-1.7353077474386676,-0.1299008802155352,0.3499865752009511,-1.5814815062118712,-0.22440854259663737,-0.30441183802269417,-0.9255176845867208,-1.1343083194790315]",3,1.1120922084596265,0,kmeans
2024-03-21,175.7876262124245,176.22449141078243,169.62189720831483,170.1481170654297,106181300,0.007568686828218096,172.9763993774461,177.55523499004076,0.014919486232219711,52.74419513089784,-2.3422256426361514,-3.095107059447481,"[175.7876262124245,106181300.0,0.007568686828218096,177.55523499004076,0.014919486232219711,52.74419513089784,-2.3422256426361514,-3.095107059447481]","[-1.6760150896615067,1.6901163560156913,0.33288993798592725,-1.6024377755994546,-0.2199834494267942,-0.08739357465478774,-0.8172206918840474,-1.080478588579855]",3,1.8650991917486044,0,kmeans
2024-03-22,170.535384758446,171.8161958354467,168.8475084023186,171.0516815185547,71160100,-0.02987833425562958,172.83314615748432,176.97974705246273,0.0161712587949196,42.957298285226145,-2.414301740645385,-2.9589459956870625,"[170.535384758446,71160100.0,-0.02987833425562958,176.97974705246273,0.0161712587949196,42.957298285226145,-2.414301740645385,-2.9589459956870625]","[-1.911851809502343,0.4819783294434991,-1.512506212621038,-1.6297397065942292,-0.10498059125399929,-0.8874803067268281,-0.8363189076407636,-1.0415374578386472]",3,1.7941861378152408,0,kmeans
2024-03-25,169.35386403283357,170.71409125238694,168.24183919385965,169.63186645507812,54288300,-0.006928302459257907,172.50124739849497,176.38137840698073,0.014007689173563558,41.109339890985275,-2.5375105734291026,-2.874658911235471,"[169.35386403283357,54288300.0,-0.006928302459257907,176.38137840698073,0.014007689173563558,41.109339890985275,-2.5375105734291026,-2.874658911235471]","[-1.9649045822649762,-0.1000537870094126,-0.3815243852948658,-1.6581271295124915,-0.3037520755683029,-1.038552399951879,-0.868965914576893,-1.0174319295416598]",3,1.2081818637286883,0,kmeans
2024-03-26,168.78794096266762,170.19781488682668,168.37093727946544,168.50001525878906,57388400,-0.0033416602177805954,172.33530360244487,175.7717571961988,0.014025091073593045,40.21692897988359,-2.6502690711113246,-2.8297809432106416,"[168.78794096266762,57388400.0,-0.0033416602177805954,175.7717571961988,0.014025091073593045,40.21692897988359,-2.6502690711113246,-2.8297809432106416]","[-1.9903157218174228,0.006891397512432826,-0.2047739898173068,-1.6870483894432655,-0.3021533280796123,-1.1115077136522122,-0.8988438654734908,-1.0045971383613441]",3,1.2213100599830753,0,kmeans
2024-03-27,169.19499314475576,172.36225110852925,168.89712909220745,172.07431030273438,60273300,0.0024116188619076606,171.60341692193523,175.26340767860674,0.013685166019948694,41.20556843002102,-2.6759387277486155,-2.799012500118237,"[169.19499314475576,60273300.0,0.0024116188619076606,175.26340767860674,0.013685166019948694,41.20556843002102,-2.6759387277486155,-2.799012500118237]","[-1.9720382202461644,0.1064127557999306,0.07874867125769772,-1.7111651824188667,-0.3333829251314318,-1.0306856390629848,-0.9056456299196876,-0.9957975745794913]",3,1.1892365468307753,0,kmeans
